RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
7701.42,8420.14,37260,10000,2.74,2797.48,-212.391,-11.3188,212.256
7729.4,8418.04,37250,10000,2.75,2797.37,-210.274,-11.3192,211.708
7757.37,8415.96,37240,10000,2.76,2797.26,-208.162,-11.3195,211.16
7785.34,8413.9,37230,10000,2.77,2797.15,-206.056,-11.3197,210.613
7813.31,8411.86,37220,10000,2.78,2797.03,-203.956,-11.3196,210.067
7841.28,8409.84,37210,10000,2.79,2796.92,-201.86,-11.3193,209.522
7869.25,8407.84,37200,10000,2.8,2796.81,-199.771,-11.3189,208.977
7897.21,8405.87,37190,10000,2.81,2796.69,-197.686,-11.3182,208.434
7925.18,8403.91,37180,10000,2.82,2796.58,-195.607,-11.3174,207.891
7953.14,8401.97,37170,10000,2.83,2796.47,-193.534,-11.3164,207.348
7981.11,8400.06,37160,10000,2.84,2796.35,-191.466,-11.3152,206.807
8009.07,8398.17,37150,10000,2.85,2796.24,-189.403,-11.3139,206.266
8037.03,8396.29,37140,10000,2.86,2796.13,-187.346,-11.3123,205.726
8064.99,8394.44,37130,10000,2.87,2796.01,-185.294,-11.3106,205.187
8092.95,8392.61,37120,10000,2.88,2795.9,-183.248,-11.3087,204.648
8120.91,8390.79,37110,10000,2.89,2795.79,-181.207,-11.3067,204.11
8148.87,8389,37100,10000,2.9,2795.67,-179.171,-11.3044,203.573
8176.82,8387.23,37090,10000,2.91,2795.56,-177.14,-11.302,203.037
8204.78,8385.48,37080,10000,2.92,2795.45,-175.115,-11.2994,202.501
8232.73,8383.75,37070,10000,2.93,2795.34,-173.096,-11.2966,201.967
8260.68,8382.04,37060,10000,2.94,2795.22,-171.081,-11.2937,201.433
8288.63,8380.35,37050,10000,2.95,2795.11,-169.072,-11.2906,200.899
8316.58,8378.68,37040,10000,2.96,2795,-167.069,-11.2873,200.367
8344.53,8377.03,37030,10000,2.97,2794.88,-165.07,-11.2838,199.835
8372.48,8375.4,37020,10000,2.98,2794.77,-163.077,-11.2802,199.304
8400.43,8373.78,37010,10000,2.99,2794.66,-161.09,-11.2764,198.773
8428.37,8372.19,37000,10000,3,2794.55,-159.107,-11.2724,198.244
8456.32,8370.62,36990,10000,3.01,2794.43,-157.13,-11.2683,197.715
8484.26,8369.07,36980,10000,3.02,2794.32,-155.158,-11.264,197.187
8512.2,8367.54,36970,10000,3.03,2794.21,-153.192,-11.2596,196.659
8540.14,8366.03,36960,10000,3.04,2794.1,-151.23,-11.255,196.133
8568.08,8364.53,36950,10000,3.05,2793.98,-149.274,-11.2502,195.607
8596.02,8363.06,36940,10000,3.06,2793.87,-147.323,-11.2453,195.082
8623.96,8361.61,36930,10000,3.07,2793.76,-145.378,-11.2402,194.557
8651.89,8360.17,36920,10000,3.08,2793.65,-143.437,-11.2349,194.033
8679.83,8358.76,36910,10000,3.09,2793.53,-141.502,-11.2295,193.51
8707.76,8357.36,36900,10000,3.1,2793.42,-139.572,-11.2239,192.988
8735.7,8355.98,36890,10000,3.11,2793.31,-137.648,-11.2182,192.467
8763.63,8354.63,36880,10000,3.12,2793.2,-135.728,-11.2123,191.946
8791.56,8353.29,36870,10000,3.13,2793.08,-133.814,-11.2063,191.426
8819.49,8351.97,36860,10000,3.14,2792.97,-131.905,-11.2001,190.907
8847.42,8350.67,36850,10000,3.15,2792.86,-130.001,-11.1937,190.388
8875.35,8349.39,36840,10000,3.16,2792.75,-128.102,-11.1872,189.87
8903.27,8348.13,36830,10000,3.17,2792.64,-126.209,-11.1806,189.353
8931.2,8346.88,36820,10000,3.18,2792.53,-124.321,-11.1738,188.837
8959.12,8345.66,36810,10000,3.19,2792.41,-122.437,-11.1668,188.322
8987.04,8344.45,36800,10000,3.2,2792.3,-120.559,-11.1597,187.807
9014.97,8343.27,36790,10000,3.21,2792.19,-118.686,-11.1525,187.293
9042.89,8342.1,36780,10000,3.22,2792.08,-116.819,-11.1451,186.779
9070.81,8340.95,36770,10000,3.23,2791.97,-114.956,-11.1375,186.267
9098.72,8339.82,36760,10000,3.24,2791.86,-113.098,-11.1298,185.755
9126.64,8338.71,36750,10000,3.25,2791.75,-111.246,-11.122,185.244
9154.56,8337.61,36740,10000,3.26,2791.63,-109.399,-11.114,184.733
9182.47,8336.54,36730,10000,3.27,2791.52,-107.556,-11.1059,184.223
9210.39,8335.48,36720,10000,3.28,2791.41,-105.719,-11.0977,183.714
9238.3,8334.44,36710,10000,3.29,2791.3,-103.887,-11.0893,183.206
9266.21,8333.42,36700,10000,3.3,2791.19,-102.06,-11.0807,182.699
9294.12,8332.42,36690,10000,3.31,2791.08,-100.238,-11.072,182.192
9322.03,8331.43,36680,10000,3.32,2790.97,-98.4214,-11.0632,181.686
9349.94,8330.47,36670,10000,3.33,2790.86,-96.6095,-11.0543,181.181
9377.85,8329.52,36660,10000,3.34,2790.75,-94.8028,-11.0452,180.676
9405.76,8328.59,36650,10000,3.35,2790.64,-93.0011,-11.036,180.172
9433.66,8327.68,36640,10000,3.36,2790.53,-91.2044,-11.0266,179.669
9461.57,8326.78,36630,10000,3.37,2790.42,-89.4127,-11.0171,179.167
9489.47,8325.91,36620,10000,3.38,2790.31,-87.6261,-11.0075,178.665
9517.37,8325.05,36610,10000,3.39,2790.2,-85.8444,-10.9977,178.164
9545.27,8324.21,36600,10000,3.4,2790.09,-84.0678,-10.9878,177.664
9573.17,8323.38,36590,10000,3.41,2789.98,-82.2961,-10.9778,177.164
9601.07,8322.58,36580,10000,3.42,2789.87,-80.5295,-10.9676,176.666
9628.97,8321.79,36570,10000,3.43,2789.76,-78.7678,-10.9573,176.168
9656.86,8321.02,36560,10000,3.44,2789.65,-77.0111,-10.9469,175.67
9684.76,8320.27,36550,10000,3.45,2789.54,-75.2594,-10.9364,175.174
